date,platform,campaign_name,impressions,clicks,spend,conversions,conversion_value
2026-01-21,Google Ads,Brand_Search,33441,398,202.01,11,1079.09
2026-01-21,Google Ads,Competitor_Search,49820,1837,4407.04,155,8792.05
2026-01-21,Google Ads,Display_Retargeting,19300,783,1714.65,64,1617.18
2026-01-21,Google Ads,YouTube_Awareness,22776,558,761.47,21,1218.02
2026-01-21,Meta Ads,Lookalike_1%,42230,1467,2004.56,20,1234.42
2026-01-21,Meta Ads,Interest_Targeting,19142,678,768.17,21,852.12
2026-01-21,Meta Ads,Retargeting,21320,441,1069.48,7,361.06
2026-01-21,Meta Ads,Broad_Audience,38709,1892,3617.89,185,12710.69
2026-01-21,TikTok Ads,Trend_Jacker,44757,813,2094.7,41,1341.98
2026-01-21,TikTok Ads,Creator_Partnership,44259,966,2256.46,79,3568.56
2026-01-21,TikTok Ads,Spark_Ads,30824,941,1736.51,30,1195.14
2026-01-21,TikTok Ads,In_Feed_Ads,21260,1058,2880.07,56,2101.16
2026-01-22,Google Ads,Brand_Search,10766,535,435.14,50,2110.85
2026-01-22,Google Ads,Competitor_Search,24939,263,326.26,14,388.23
2026-01-22,Google Ads,Display_Retargeting,44313,334,545.35,12,742.04
2026-01-22,Google Ads,YouTube_Awareness,8219,375,288.1,17,533.7
2026-01-22,Meta Ads,Lookalike_1%,35774,636,1680.89,14,1054.42
2026-01-22,Meta Ads,Interest_Targeting,35341,1494,3778.46,112,2727.62
2026-01-22,Meta Ads,Retargeting,49239,326,795.99,14,337.63
2026-01-22,Meta Ads,Broad_Audience,44590,1114,954.68,16,577.3
2026-01-22,TikTok Ads,Trend_Jacker,27922,836,782.58,74,5983.61
2026-01-22,TikTok Ads,Creator_Partnership,5419,247,550.42,8,524.22
2026-01-22,TikTok Ads,Spark_Ads,29901,816,666.4,33,1312.57
2026-01-22,TikTok Ads,In_Feed_Ads,21676,535,915.28,23,1610.47
2026-01-23,Google Ads,Brand_Search,22047,438,764.5,14,467.5
2026-01-23,Google Ads,Competitor_Search,24626,191,233.78,11,921.11
2026-01-23,Google Ads,Display_Retargeting,20246,988,2916.68,73,4074.21
2026-01-23,Google Ads,YouTube_Awareness,41822,967,1526.67,96,6411.49
2026-01-23,Meta Ads,Lookalike_1%,42851,1626,2126.11,103,2262.76
2026-01-23,Meta Ads,Interest_Targeting,42160,1077,803.83,52,4955.92
2026-01-23,Meta Ads,Retargeting,17425,129,329.33,2,193.01
2026-01-23,Meta Ads,Broad_Audience,15658,388,225.42,15,982.75
2026-01-23,TikTok Ads,Trend_Jacker,29088,1429,2314.32,89,8469.94
2026-01-23,TikTok Ads,Creator_Partnership,34176,936,2603.67,74,2017.39
2026-01-23,TikTok Ads,Spark_Ads,48870,823,2387.83,75,6631.73
2026-01-23,TikTok Ads,In_Feed_Ads,33378,1354,3836.57,34,1552.22
2026-01-24,Google Ads,Brand_Search,9821,406,1045.78,9,762.68
2026-01-24,Google Ads,Competitor_Search,20802,460,811.41,45,1425.8
2026-01-24,Google Ads,Display_Retargeting,45249,336,291.75,24,957.3
2026-01-24,Google Ads,YouTube_Awareness,19237,145,371.33,12,522.08
2026-01-24,Meta Ads,Lookalike_1%,35786,1643,3699.12,107,2628.09
2026-01-24,Meta Ads,Interest_Targeting,12745,519,1202.33,47,2811.16
2026-01-24,Meta Ads,Retargeting,39400,1681,3818.84,65,3122.33
2026-01-24,Meta Ads,Broad_Audience,26472,925,2707.0,60,3127.45
2026-01-24,TikTok Ads,Trend_Jacker,39052,1453,3049.02,105,2396.65
2026-01-24,TikTok Ads,Creator_Partnership,9832,248,731.57,19,399.49
2026-01-24,TikTok Ads,Spark_Ads,7525,38,59.46,2,149.23
2026-01-24,TikTok Ads,In_Feed_Ads,22376,885,1690.02,63,1527.05
2026-01-25,Google Ads,Brand_Search,35396,1287,858.07,43,2885.77
2026-01-25,Google Ads,Competitor_Search,20463,182,283.98,10,604.88
2026-01-25,Google Ads,Display_Retargeting,28988,348,938.79,28,2300.57
2026-01-25,Google Ads,YouTube_Awareness,13204,266,611.29,21,1856.22
2026-01-25,Meta Ads,Lookalike_1%,27043,772,786.77,42,3817.52
2026-01-25,Meta Ads,Interest_Targeting,6082,132,84.35,6,484.72
2026-01-25,Meta Ads,Retargeting,6555,303,346.93,13,816.09
2026-01-25,Meta Ads,Broad_Audience,41087,1506,1798.42,55,2651.39
2026-01-25,TikTok Ads,Trend_Jacker,18893,893,1126.51,9,296.04
2026-01-25,TikTok Ads,Creator_Partnership,30282,698,1294.05,68,4227.98
2026-01-25,TikTok Ads,Spark_Ads,21286,629,1776.21,47,3851.48
2026-01-25,TikTok Ads,In_Feed_Ads,13449,216,450.65,10,706.4
2026-01-26,Google Ads,Brand_Search,42566,606,567.37,15,1117.98
2026-01-26,Google Ads,Competitor_Search,32057,761,579.44,42,3170.51
2026-01-26,Google Ads,Display_Retargeting,13347,544,785.05,11,931.46
2026-01-26,Google Ads,YouTube_Awareness,15819,87,191.92,3,161.48
2026-01-26,Meta Ads,Lookalike_1%,32721,629,1872.72,52,4422.55
2026-01-26,Meta Ads,Interest_Targeting,15724,246,596.74,9,806.26
2026-01-26,Meta Ads,Retargeting,23961,604,386.36,30,1095.52
2026-01-26,Meta Ads,Broad_Audience,28039,299,893.75,13,719.78
2026-01-26,TikTok Ads,Trend_Jacker,14039,155,221.01,12,871.95
2026-01-26,TikTok Ads,Creator_Partnership,45952,1863,1673.5,136,8306.12
2026-01-26,TikTok Ads,Spark_Ads,32890,699,1857.9,16,879.51
2026-01-26,TikTok Ads,In_Feed_Ads,37710,476,1091.56,41,2368.69
2026-01-27,Google Ads,Brand_Search,47839,2178,4075.42,144,7285.41
2026-01-27,Google Ads,Competitor_Search,47936,1472,3376.47,126,8224.74
2026-01-27,Google Ads,Display_Retargeting,46077,1458,3782.39,91,7174.27
2026-01-27,Google Ads,YouTube_Awareness,37175,1067,2969.26,94,9021.63
2026-01-27,Meta Ads,Lookalike_1%,46449,710,1365.79,48,3874.1
2026-01-27,Meta Ads,Interest_Targeting,21283,372,333.96,11,225.41
2026-01-27,Meta Ads,Retargeting,28615,1418,2892.53,49,2108.45
2026-01-27,Meta Ads,Broad_Audience,26022,622,611.68,8,210.11
2026-01-27,TikTok Ads,Trend_Jacker,31396,1234,3442.71,95,5035.24
2026-01-27,TikTok Ads,Creator_Partnership,8033,101,165.08,7,566.1
2026-01-27,TikTok Ads,Spark_Ads,43997,1813,1493.75,72,3079.94
