report_date,video_campaign,views,click_throughs,ad_spend,conversions,value_generated
2025-01-31,InStream,twenty thousand,426,invalid,21,4638
2025-01-09,Shorts,twenty thousand,1495,invalid,34,1641
2025-01-26,Bumper,19746,1481,1190,22,2435
2025-01-05,Bumper,41716,257,invalid,13,2564
2025-01-30,Bumper,40151,1389,761,33,1391
2025-01-11,InStream,31904,1428,invalid,28,2160
2025-01-25,Bumper,twenty thousand,1390,invalid,52,669
2025-01-29,Shorts,twenty thousand,674,invalid,30,2158
2025-01-03,InStream,14839,1459,1242,12,3919
2025-01-12,Bumper,twenty thousand,268,invalid,23,2176
2025-01-06,Bumper,twenty thousand,417,691,75,2795
2025-01-28,InStream,twenty thousand,1067,311,72,3859
2025-01-10,Shorts,twenty thousand,593,invalid,47,710
2025-01-21,Shorts,26780,967,invalid,20,2410
2025-01-04,InStream,47477,846,1024,62,4599
2025-01-13,Bumper,49069,1026,invalid,68,3754
2025-01-12,Bumper,twenty thousand,1289,1081,40,4560
2025-01-01,Bumper,twenty thousand,341,553,6,2030
2025-01-15,InStream,28529,604,invalid,10,4088
2025-01-14,InStream,twenty thousand,1031,967,55,1354
2025-01-08,Shorts,twenty thousand,931,1157,7,3439
2025-01-23,InStream,35153,841,invalid,49,544
2025-01-12,Shorts,twenty thousand,739,invalid,46,693
2025-01-17,Shorts,15422,1337,1376,79,1524
2025-01-24,Bumper,twenty thousand,436,invalid,49,4911
2025-01-27,Shorts,twenty thousand,309,979,14,1805
2025-01-18,InStream,36214,302,invalid,35,4278
2025-01-27,InStream,28063,1163,854,79,2021
2025-01-01,InStream,21791,849,637,60,4299
2025-01-01,InStream,twenty thousand,599,invalid,74,4440
2025-01-04,InStream,36216,1446,invalid,17,2735
2025-01-07,InStream,twenty thousand,429,invalid,8,3155
2025-01-28,Bumper,twenty thousand,1468,invalid,29,1221
2025-01-23,InStream,twenty thousand,396,370,15,1604
2025-01-26,InStream,twenty thousand,395,invalid,31,3796
2025-01-04,Shorts,twenty thousand,1429,314,80,4009
2025-01-18,InStream,twenty thousand,586,invalid,36,4919
2025-01-07,InStream,twenty thousand,650,1433,57,4219
2025-01-25,Shorts,42591,800,1499,79,1653
2025-01-04,InStream,twenty thousand,396,753,42,2817
2025-01-14,Shorts,31234,1358,invalid,15,3016
2025-01-28,InStream,twenty thousand,704,invalid,10,2012
2025-01-10,Bumper,twenty thousand,921,invalid,68,2183
2025-01-18,Shorts,twenty thousand,726,invalid,38,1879
2025-01-29,InStream,twenty thousand,731,643,12,723
2025-01-20,Shorts,42282,779,invalid,66,1387
2025-01-01,InStream,37393,693,invalid,34,544
2025-01-22,Bumper,twenty thousand,1441,1089,15,1435
2025-01-26,Bumper,38033,783,invalid,73,1206
2025-01-19,InStream,45433,1123,965,28,3827
2025-01-13,Bumper,twenty thousand,627,invalid,37,1469
2025-01-02,InStream,twenty thousand,1495,invalid,37,3606
2025-01-18,Bumper,13169,933,462,5,1146
2025-01-28,Bumper,twenty thousand,1382,invalid,5,2933
2025-01-14,Shorts,twenty thousand,833,invalid,45,3366
2025-01-30,Shorts,twenty thousand,356,invalid,68,852
2025-01-28,InStream,twenty thousand,1270,1291,61,2095
2025-01-03,Shorts,twenty thousand,1176,551,65,2743
2025-01-01,InStream,22221,579,invalid,21,4797
2025-01-21,Bumper,twenty thousand,1240,1321,33,2602
2025-01-21,InStream,twenty thousand,1167,invalid,34,1442
2025-01-21,Bumper,12767,1317,invalid,61,1060
2025-01-18,InStream,twenty thousand,778,458,6,3646
2025-01-05,Bumper,23556,1226,1415,69,3285
2025-01-03,Bumper,twenty thousand,1100,616,79,3910
2025-01-27,InStream,14114,689,468,14,4009
2025-01-01,Shorts,twenty thousand,328,768,49,2345
2025-01-07,Shorts,twenty thousand,323,invalid,66,2121
2025-01-26,Shorts,twenty thousand,539,1166,32,1542
2025-01-13,InStream,twenty thousand,276,invalid,29,1729
2025-01-04,Bumper,twenty thousand,489,invalid,53,3016
2025-01-29,Bumper,twenty thousand,1341,1426,27,4359
2025-01-16,InStream,25350,1273,invalid,62,2773
2025-01-30,Shorts,14825,1205,992,48,3608
2025-01-31,InStream,twenty thousand,1207,678,71,1428
2025-01-25,InStream,twenty thousand,1285,870,62,4010
2025-01-16,InStream,20366,1181,1424,48,1855
2025-01-13,Shorts,26507,551,612,61,4881
2025-01-11,Bumper,twenty thousand,1028,1381,40,2042
2025-01-06,InStream,twenty thousand,581,invalid,38,1864
2025-01-12,Bumper,twenty thousand,1258,786,32,1704
2025-01-07,Shorts,38302,301,invalid,35,1651
2025-01-27,InStream,28741,894,631,35,4698
2025-01-19,InStream,twenty thousand,1312,invalid,45,1964
2025-01-09,InStream,49934,1035,1484,32,3140
2025-01-13,Bumper,44493,1134,invalid,65,1884
2025-01-02,InStream,28073,358,496,78,4552
2025-01-14,InStream,twenty thousand,1431,1097,79,3376
2025-01-20,InStream,33639,1281,721,12,3569
2025-01-12,InStream,twenty thousand,874,invalid,22,2979
2025-01-24,InStream,21608,603,invalid,44,3910
2025-01-27,InStream,47790,235,1167,61,3259
2025-01-23,InStream,43342,1040,1318,65,4295
2025-01-05,Shorts,twenty thousand,1122,684,32,3923
2025-01-18,Bumper,13475,766,632,41,4908
2025-01-21,Bumper,25075,387,1215,9,1081
2025-01-06,InStream,30607,616,invalid,76,2869
2025-01-13,Bumper,twenty thousand,820,479,58,3086
2025-01-10,InStream,35531,1295,invalid,8,3600
2025-01-24,Shorts,twenty thousand,535,invalid,32,4638
